Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2016-07-14,1,1,1,40.79970473354501,-73.93447923243781,4,1,1,2,108.0,756.0,3240.0,300.0,50.0,1,0.0,1,14,1,2016-09-06,2016-09-06,0.12,100.0,0,1,1,0,0,0,1,1,0,0
2012-03-26,5,5,5,40.79500971716119,-73.94896315722107,6,1,2,4,300.0,2100.0,9000.0,150.0,125.0,4,25.0,5,365,3,2016-01-05,2016-05-16,0.19,93.0,0,1,1,0,0,0,1,0,1,0
2014-07-28,2,2,1,40.799626806174295,-73.94628436462975,4,1,1,2,103.0,721.0,2400.0,200.0,150.0,2,20.0,4,60,39,2015-05-13,2017-04-16,1.62,84.0,0,1,1,0,0,0,1,0,0,1
2014-02-11,2,2,1,40.80021482166072,-73.94142026927096,4,1,2,2,185.0,1295.0,3200.0,0.0,0.0,1,0.0,4,1125,68,2014-03-31,2017-04-15,1.8,96.0,0,1,1,0,0,0,1,0,1,0
2014-07-08,1,1,1,40.80336235566097,-73.93685212170224,2,1,1,1,85.0,595.0,2550.0,0.0,5.0,1,15.0,1,1125,20,2016-06-19,2017-04-19,1.87,97.0,0,1,0,1,0,0,1,0,0,1
2016-07-06,2,2,2,40.78679948491047,-73.94269448430182,2,1,1,1,75.0,525.0,2250.0,0.0,10.0,2,10.0,1,31,51,2016-07-21,2017-04-28,5.31,94.0,0,1,0,1,0,1,0,1,0,0
2014-07-31,1,1,1,40.79578823577686,-73.94937228471315,2,1,1,1,89.0,623.0,2670.0,0.0,30.0,2,0.0,1,4,4,2017-03-25,2017-05-01,2.93,100.0,0,1,0,1,0,0,1,0,1,0
2016-11-17,1,1,1,40.79370554092946,-73.94507115765953,1,1,1,4,42.0,294.0,1260.0,0.0,0.0,1,0.0,1,1125,41,2016-12-12,2017-05-01,8.54,92.0,0,1,0,0,1,0,1,1,0,0
2012-03-28,1,1,1,40.72261217180373,-73.98457602977602,3,1,0,1,190.0,700.0,5700.0,150.0,25.0,1,50.0,5,1125,1,2017-01-02,2017-03-07,0.24,100.0,0,1,1,0,0,0,1,1,0,0
2016-02-25,1,1,1,40.73994071517196,-73.99004566459944,8,2,3,5,600.0,4200.0,18000.0,500.0,0.0,4,25.0,5,1125,12,2016-04-20,2017-02-23,0.95,83.0,0,1,1,0,0,0,1,0,0,1
2009-10-25,1,1,1,40.70725891932916,-74.00593289634396,2,2,1,1,120.0,765.0,2700.0,0.0,25.0,1,0.0,1,1125,33,2015-09-09,2017-02-05,1.64,96.0,0,1,0,1,0,0,1,1,0,0
2015-11-05,1,1,1,40.70686095591022,-73.91960524313677,2,1,0,1,105.0,735.0,3150.0,0.0,90.0,1,0.0,4,1125,3,2016-01-02,2017-04-10,0.18,87.0,0,1,1,0,0,0,1,0,0,1
