Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,PersonPrice,Weekly Price,Monthly Price,PerSecurity,Security Deposit,PerCleaning,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
8/15/15,1,1,1,40.74320865,-73.98473719,3,1,1,1,300,100,2100,9000,166.6666667,500,33.33333333,100,1,0,6,1125,1,7/1/16,7/1/16,0.1,1,0,1,1,0,0,0,1,1,0,0
4/10/14,1,1,1,40.75967017,-73.96595471,1,1,1,1,78,78,546,1850,0,0,50,50,1,20,30,1000,28,9/21/14,1/21/17,0.88,0,0,1,0,1,0,0,1,0,0,1
2/1/14,4,4,4,40.76428525,-73.98042642,2,1,1,1,130,65,910,3900,50,100,20,40,2,50,7,1125,9,9/29/14,4/29/17,0.28,1,0,1,0,1,0,0,1,0,0,1
12/9/15,1,1,1,40.75621266,-73.96720699,2,1,1,1,65,32.5,455,1950,0,0,0,0,1,0,7,1125,1,1/24/16,1/24/16,0.06,0,0,1,0,1,0,0,1,0,0,1
6/18/16,1,1,1,40.87246912,-73.91927031,1,1,1,1,59,59,413,1770,0,0,25,25,1,0,2,1125,4,12/30/16,4/19/17,0.95,0,0,1,0,1,0,0,1,1,0,0
10/18/16,1,1,1,40.86288781,-73.92938972,2,1,1,1,65,32.5,455,1950,0,0,5,10,1,25,1,4,1,12/30/16,12/30/16,0.24,0,0,1,0,1,0,0,1,1,0,0
1/2/14,1,1,1,40.86908863,-73.9225633,2,1,1,1,55,27.5,385,1650,0,0,5,10,2,15,5,1125,25,3/17/16,11/29/16,1.81,0,0,1,0,1,0,0,1,0,1,0
11/9/15,1,1,1,40.86227479,-73.92942962,1,1,1,1,60,60,420,1800,0,0,10,10,1,0,5,1125,1,12/30/15,12/30/15,0.06,1,0,1,0,1,0,0,1,0,0,1
12/25/13,1,1,1,40.86603681,-73.92731769,2,1,1,1,44,22,308,1320,47.5,95,12.5,25,1,13,2,20,23,5/12/15,4/23/17,0.95,1,0,1,0,1,0,0,1,0,1,0
3/10/13,1,1,1,40.86175541,-73.9308178,2,1,1,1,80,40,560,2400,0,0,10,20,1,0,2,1125,49,8/4/14,1/7/17,1.46,0,0,1,0,1,0,0,1,1,0,0
8/5/16,1,1,1,40.74273656,-73.98032366,2,1,1,1,85,42.5,595,2550,0,0,0,0,1,0,3,1125,2,4/16/17,4/23/17,2,0,0,1,0,1,0,0,1,1,0,0
11/8/16,1,1,1,40.74381475,-73.97839227,4,1,0,1,180,45,1260,5400,0,0,0,0,1,0,5,1125,3,12/11/16,1/3/17,0.63,0,0,1,1,0,0,0,1,1,0,0
4/9/13,9,9,9,40.71512499,-73.9880121,2,1,1,1,99,49.5,660,2500,0,0,17.5,35,2,0,1,1125,91,11/12/13,4/13/17,2.15,0,0,1,0,1,0,0,1,0,1,0
9/19/15,1,1,1,40.72311149,-73.98950194,2,1,0,1,119,59.5,833,2100,0,0,24.5,49,1,19,3,1125,16,9/26/15,11/3/16,0.82,0,0,1,1,0,0,0,1,0,1,0
3/31/15,2,2,2,40.71303644,-73.98463001,6,1,2,2,225,37.5,1575,3600,0,0,0,0,1,0,7,354,18,5/3/15,3/27/17,0.74,0,0,1,1,0,0,0,1,0,0,1
11/28/12,1,1,1,40.71987692,-73.98639173,2,1,1,1,75,37.5,525,4500,0,0,20,40,1,20,3,200,53,5/14/14,4/19/17,1.46,0,0,1,0,1,0,0,1,0,0,1
7/13/16,1,1,1,40.72056276,-73.98814041,2,1,0,1,89,44.5,623,2670,150,300,42.5,85,1,0,1,1125,17,8/7/16,12/31/16,1.88,0,0,1,1,0,0,0,1,0,0,1
10/21/16,2,2,2,40.71279986,-73.98908878,3,1,1,1,135,45,945,4050,0,0,6.666666667,20,2,0,1,1125,14,2/5/17,4/25/17,4.72,0,0,1,0,1,0,0,1,0,0,1
12/28/14,1,1,1,40.71962926,-73.98590932,2,1,1,1,79,39.5,553,2370,50,100,10,20,1,40,1,29,26,12/7/16,4/27/17,5.23,0,0,1,0,1,0,0,1,0,0,1
10/5/15,1,1,1,40.71823927,-73.98504383,2,1,1,1,103,51.5,721,3090,100,200,25,50,1,0,2,1125,6,12/6/15,5/31/16,0.35,0,0,1,1,0,0,0,1,0,0,1
1/4/17,4,4,2,40.71625257,-73.98650536,1,1,1,1,28,28,196,840,350,350,25,25,1,0,15,1125,2,2/3/17,2/23/17,0.66,1,0,1,0,0,1,0,1,0,0,1
12/2/15,1,1,1,40.71503559,-73.98879195,1,0,1,1,45,45,315,1350,600,600,0,0,1,0,1,1125,2,1/19/16,6/22/16,0.13,0,0,1,0,1,0,0,1,1,0,0
1/31/14,2,2,2,40.71514075,-73.98293348,2,1,1,1,95,47.5,665,2850,0,0,30,60,2,50,1,1125,8,3/25/16,4/6/17,0.59,0,0,1,0,1,0,0,1,0,0,1
